seq,name,type,nullable,format
0,  opco_id, varchar, NULL,
1, structure_version, varchar, NULL,
2, cdr_type_main, varchar, NULL,
3, cdr_type_1, timestamp, NULL,
4, unique_record_identifier, varchar, NULL,
5, Originnodetype, varchar, NULL,
6, nodetype_other1, varchar, NULL,
7, Originhostname, varchar, NULL,
8, Originfileid, varchar, NULL,
9, Origintransactionid, varchar, NULL,
10, Originoperatorid, varchar, NULL,
11, Origintimestamp, varchar, NULL,
12, Hostname, int4, NULL,
13, Localsequencenumber, varchar, NULL,
14, timestamp_v, varchar, NULL,
15, timestamp_other1, varchar, NULL,
16, Currentserviceclass, varchar, NULL,
17, serviceclass_other, varchar, NULL,
18, Voucherbasedrefill, float4, NULL,
19, Transactiontype, varchar, NULL,
20, Transactioncode, varchar, NULL,
21, Transactionamount, varchar, NULL,
22, Transactioncurrency, varchar, NULL,
23, refill_details, varchar, NULL,
24, refilltype_type1, varchar, NULL,
25, refilltype_type2, float4, NULL,
26, voucher_details, varchar, NULL,
27, Accountnumber, float4, NULL,
28, accountnumber_other1, float4, NULL,
29, accountnumber_other2, varchar, NULL,
30, Accountcurrency, float4, NULL,
31, Subscribernumber, float4, NULL,
32, subscribernumber_other1, float4, NULL,
33, subscribernumber_other2, float4, NULL,
34, promotionannouncementcode, float4, NULL,
35, accountinformationbeforerefill, float4, NULL,
36, accountinformationafterrefill, float4, NULL,
37, refillpromodivisionamount, float4, NULL,
38, refilllifecycle_details, float4, NULL,
39, Welcomestatus, float4, NULL,
40, promotionplanallocstartdate, float4, NULL,
41, Accountgroupid, float4, NULL,
42, externaldata_details, float4, NULL,
43, Locationnumber, float4, NULL,
44, Accountcurrencycleared, varchar, NULL,
45, ignoreserviceclasshierarchy, varchar, NULL,
46, Selectiontreeparameter, varchar, NULL,
47, Treedefinedfields, varchar, NULL,
48, Accounthomeregion, varchar, NULL,
49, Subscriberregion, varchar, NULL,
50, promotionplanallocenddate, varchar, NULL,
51, Requestedrefilltype, varchar, NULL,
52, requestedrefilltype_other1, varchar, NULL,
53, requestedrefilltype_other2, varchar, NULL,
54, requestedrefilltype_other3, varchar, NULL,
55, Cellidentifier, varchar, NULL,
56, Supplierid, varchar, NULL,
57, Pamtriggered, varchar, NULL,
58, das_rraccountinformationbeforerefill, varchar, NULL,
59, das_rraccountinformationafterrefill, varchar, NULL,
60, Subdedicatedaccountsbeforerefill, varchar, NULL,
61, subdedicatedaccountsafterrefill, varchar, NULL,
62, usaccu_accountinformationbeforerefil, varchar, NULL,
63, usaccu_accountinformationafterrefill, varchar, NULL,
64, community_details, varchar, NULL,
65, Offeraccountinformationbeforerefill, varchar, NULL,
66, Offeraccountinformationafterrefill, varchar, NULL,
67, Offerbeforedas, varchar, NULL,
68, Offerbeforesubdas, varchar, NULL,
69, Offerafterdas, varchar, NULL,
70, Offeraftersubdas, varchar, NULL,
71, Offerattributeinformationbefore, varchar, NULL,
72, offerattributeinformationafter, varchar, NULL,
73, offers_other1, varchar, NULL,
74, offers_other2, varchar, NULL,
75, Aggregatedbalance, varchar, NULL,
76, aggregatedbalance_other, varchar, NULL,
77, promotionamountconverted, varchar, NULL,
78, promotiondivisionamount, varchar, NULL,
79, account_details, varchar, NULL,
80, Usageaccumulator, varchar, NULL,
81, externaldata_details1, varchar, NULL,
82, das_details, varchar, NULL,
83, subdas_opdetails, varchar, NULL,
84, Activationdate, varchar, NULL,
85, Accountdivisionid, varchar, NULL,
86, Serviceoffering, varchar, NULL,
87, Accountbalancebefore, varchar, NULL,
88, Operation, varchar, NULL,
89, Refillfraudcounter, varchar, NULL,
90, Refillunbartimestamp, varchar, NULL,
91, Errorcode, varchar, NULL,
92, errorcode_other1, varchar, NULL,
93, errorcode_other2, varchar, NULL,
94, Msisdncurrent, varchar, NULL,
95, Msisdnnew, varchar, NULL,
96, Imsicurrent, varchar, NULL,
97, Imsinew, varchar, NULL,
98, Naicurrent, varchar, NULL,
99, Nainew, varchar, NULL,
100, Sipuricurrent, varchar, NULL,
101, Sipurinew, varchar, NULL,
102, Privatecurrent, varchar, NULL,
103, Privatenew, float4, NULL,
104, Cleanupdate, varchar, NULL,
105, Msisdnchange, float4, NULL,
106, Externaladdresschange, float4, NULL,
107, Adjustmentamount, varchar, NULL,
108, negativebalancebarringdate, float4, NULL,
109, creditclearanceperiodbefore, float4, NULL,
110, creditclearanceperiodafter, float4, NULL,
111, servicefee_details, float4, NULL,
112, Cdrrecordcount, float4, NULL,
113, extra1, float4, NULL,
114, extra2, float4, NULL,
115, extra3, float4, NULL,
116, extra4, float4, NULL,
117, extra5, float4, NULL,
118, extra6, float4, NULL,
119, extra7, float4, NULL,
120, extra8, float4, NULL,
121, extra9, float4, NULL,
122, extra10, varchar, NULL,
123, username, varchar, NULL,
124, event_timestamp_enrich, varchar, NULL,
125, rec_seq_no, numeric, NULL,
126, file_name, varchar, NULL,
127, event_date, varchar, NULL,
